sample: 126, mc_sample: 10, mean reward: -6.463, std reward: 2.008
sample: 127, mc_sample: 10, mean reward: -5.783, std reward: 2.172
sample: 128, mc_sample: 10, mean reward: -6.483, std reward: 2.688
sample: 129, mc_sample: 10, mean reward: -7.966, std reward: 3.747
sample: 130, mc_sample: 10, mean reward: -6.479, std reward: 3.591
sample: 131, mc_sample: 10, mean reward: -4.789, std reward: 2.831
sample: 132, mc_sample: 10, mean reward: -5.081, std reward: 2.097
sample: 133, mc_sample: 10, mean reward: -4.957, std reward: 3.062
sample: 134, mc_sample: 10, mean reward: -6.107, std reward: 2.762
sample: 135, mc_sample: 10, mean reward: -6.746, std reward: 2.338
sample: 136, mc_sample: 10, mean reward: -5.49, std reward: 3.968
sample: 137, mc_sample: 10, mean reward: -5.654, std reward: 4.452
sample: 138, mc_sample: 10, mean reward: -6.851, std reward: 3.319
sample: 139, mc_sample: 10, mean reward: -6.276, std reward: 5.083
sample: 140, mc_sample: 10, mean reward: -8.353, std reward: 4.216
sample: 141, mc_sample: 10, mean reward: -6.097, std reward: 3.455
sample: 142, mc_sample: 10, mean reward: -5.59, std reward: 2.958
sample: 143, mc_sample: 10, mean reward: -5.965, std reward: 5.14
sample: 144, mc_sample: 10, mean reward: -6.588, std reward: 4.138
sample: 145, mc_sample: 10, mean reward: -6.119, std reward: 3.442
sample: 146, mc_sample: 10, mean reward: -5.387, std reward: 2.174
sample: 147, mc_sample: 10, mean reward: -6.805, std reward: 3.852
sample: 148, mc_sample: 10, mean reward: -7.799, std reward: 3.814
sample: 149, mc_sample: 10, mean reward: -4.063, std reward: 2.722
sample: 150, mc_sample: 10, mean reward: -5.896, std reward: 2.564
sample: 151, mc_sample: 10, mean reward: -4.492, std reward: 3.618
sample: 152, mc_sample: 10, mean reward: -5.501, std reward: 2.316
sample: 153, mc_sample: 10, mean reward: -4.095, std reward: 2.501
sample: 154, mc_sample: 10, mean reward: -5.487, std reward: 2.57
sample: 155, mc_sample: 10, mean reward: -3.486, std reward: 2.403
sample: 156, mc_sample: 10, mean reward: -4.957, std reward: 2.71
sample: 157, mc_sample: 10, mean reward: -5.264, std reward: 2.256
sample: 158, mc_sample: 10, mean reward: -5.93, std reward: 2.76
sample: 159, mc_sample: 10, mean reward: -5.87, std reward: 3.241
sample: 160, mc_sample: 10, mean reward: -5.756, std reward: 2.85
sample: 161, mc_sample: 10, mean reward: -4.904, std reward: 4.592
sample: 162, mc_sample: 10, mean reward: -4.207, std reward: 2.356
sample: 163, mc_sample: 10, mean reward: -5.563, std reward: 3.736
sample: 164, mc_sample: 10, mean reward: -5.887, std reward: 2.417
sample: 165, mc_sample: 10, mean reward: -4.577, std reward: 2.536
sample: 166, mc_sample: 10, mean reward: -4.537, std reward: 3.394
sample: 167, mc_sample: 10, mean reward: -4.215, std reward: 1.669
