sample: 283, mc_sample: 10, mean reward: -268.129, std reward: 24.594
sample: 284, mc_sample: 10, mean reward: -139.483, std reward: 23.162
sample: 285, mc_sample: 10, mean reward: -146.488, std reward: 33.92
sample: 286, mc_sample: 10, mean reward: -261.519, std reward: 22.034
sample: 287, mc_sample: 10, mean reward: -138.304, std reward: 23.291
sample: 288, mc_sample: 10, mean reward: -266.978, std reward: 29.827
sample: 289, mc_sample: 10, mean reward: -263.135, std reward: 11.67
sample: 290, mc_sample: 10, mean reward: -271.125, std reward: 21.968
sample: 291, mc_sample: 10, mean reward: -264.857, std reward: 18.192
sample: 292, mc_sample: 10, mean reward: -136.995, std reward: 25.637
sample: 293, mc_sample: 10, mean reward: -125.124, std reward: 21.372
sample: 294, mc_sample: 10, mean reward: -145.817, std reward: 28.508
sample: 295, mc_sample: 10, mean reward: -144.192, std reward: 28.19
sample: 296, mc_sample: 10, mean reward: -272.754, std reward: 15.788
sample: 297, mc_sample: 10, mean reward: -278.676, std reward: 23.551
sample: 298, mc_sample: 10, mean reward: -140.485, std reward: 14.416
sample: 299, mc_sample: 10, mean reward: -273.988, std reward: 24.327
sample: 300, mc_sample: 10, mean reward: -274.372, std reward: 13.756
sample: 301, mc_sample: 10, mean reward: -138.937, std reward: 18.466
sample: 302, mc_sample: 10, mean reward: -136.964, std reward: 25.719
sample: 303, mc_sample: 10, mean reward: -282.012, std reward: 19.31
sample: 304, mc_sample: 10, mean reward: -252.773, std reward: 16.005
sample: 305, mc_sample: 10, mean reward: -277.26, std reward: 24.947
sample: 306, mc_sample: 10, mean reward: -137.529, std reward: 31.356
sample: 307, mc_sample: 10, mean reward: -267.386, std reward: 27.585
sample: 308, mc_sample: 10, mean reward: -272.063, std reward: 19.6
sample: 309, mc_sample: 10, mean reward: -142.199, std reward: 19.717
