sample: 0, mc_sample: 1, mean reward: -35.644, std reward: 0.0
sample: 133, mc_sample: 1, mean reward: -9.877, std reward: 0.0
sample: 134, mc_sample: 1, mean reward: -52.979, std reward: 0.0
sample: 135, mc_sample: 1, mean reward: -21.389, std reward: 0.0
sample: 136, mc_sample: 1, mean reward: -14.828, std reward: 0.0
sample: 137, mc_sample: 1, mean reward: -23.812, std reward: 0.0
sample: 138, mc_sample: 1, mean reward: -11.155, std reward: 0.0
sample: 139, mc_sample: 1, mean reward: -10.561, std reward: 0.0
sample: 140, mc_sample: 1, mean reward: -41.57, std reward: 0.0
sample: 141, mc_sample: 1, mean reward: -8.648, std reward: 0.0
sample: 142, mc_sample: 1, mean reward: -10.631, std reward: 0.0
sample: 143, mc_sample: 1, mean reward: -14.653, std reward: 0.0
sample: 144, mc_sample: 1, mean reward: -19.903, std reward: 0.0
sample: 145, mc_sample: 1, mean reward: -27.349, std reward: 0.0
sample: 146, mc_sample: 1, mean reward: -15.304, std reward: 0.0
sample: 147, mc_sample: 1, mean reward: -13.293, std reward: 0.0
sample: 148, mc_sample: 1, mean reward: -18.093, std reward: 0.0
sample: 149, mc_sample: 1, mean reward: -7.826, std reward: 0.0
sample: 150, mc_sample: 1, mean reward: -27.031, std reward: 0.0
sample: 151, mc_sample: 1, mean reward: -24.805, std reward: 0.0
sample: 152, mc_sample: 1, mean reward: -18.448, std reward: 0.0
sample: 153, mc_sample: 1, mean reward: -7.704, std reward: 0.0
sample: 154, mc_sample: 1, mean reward: -8.85, std reward: 0.0
sample: 155, mc_sample: 1, mean reward: -20.848, std reward: 0.0
sample: 156, mc_sample: 1, mean reward: -24.49, std reward: 0.0
sample: 157, mc_sample: 1, mean reward: -10.443, std reward: 0.0
sample: 158, mc_sample: 1, mean reward: -38.451, std reward: 0.0
sample: 159, mc_sample: 1, mean reward: -20.918, std reward: 0.0
sample: 160, mc_sample: 1, mean reward: -21.739, std reward: 0.0
sample: 161, mc_sample: 1, mean reward: -10.315, std reward: 0.0
sample: 162, mc_sample: 1, mean reward: -7.577, std reward: 0.0
sample: 163, mc_sample: 1, mean reward: -36.811, std reward: 0.0
sample: 164, mc_sample: 1, mean reward: -22.154, std reward: 0.0
sample: 165, mc_sample: 1, mean reward: -35.368, std reward: 0.0
sample: 166, mc_sample: 1, mean reward: -39.69, std reward: 0.0
sample: 167, mc_sample: 1, mean reward: -12.252, std reward: 0.0
sample: 168, mc_sample: 1, mean reward: -11.263, std reward: 0.0
sample: 169, mc_sample: 1, mean reward: -30.153, std reward: 0.0
sample: 170, mc_sample: 1, mean reward: -28.525, std reward: 0.0
sample: 171, mc_sample: 1, mean reward: -15.631, std reward: 0.0
sample: 172, mc_sample: 1, mean reward: -22.193, std reward: 0.0
sample: 173, mc_sample: 1, mean reward: -6.774, std reward: 0.0
sample: 174, mc_sample: 1, mean reward: -12.323, std reward: 0.0
sample: 175, mc_sample: 1, mean reward: -28.46, std reward: 0.0
sample: 176, mc_sample: 1, mean reward: -17.172, std reward: 0.0
sample: 177, mc_sample: 1, mean reward: -22.105, std reward: 0.0
sample: 178, mc_sample: 1, mean reward: -17.676, std reward: 0.0
sample: 179, mc_sample: 1, mean reward: -30.304, std reward: 0.0
sample: 180, mc_sample: 1, mean reward: -32.646, std reward: 0.0
sample: 181, mc_sample: 1, mean reward: -21.17, std reward: 0.0
sample: 182, mc_sample: 1, mean reward: -18.781, std reward: 0.0
sample: 183, mc_sample: 1, mean reward: -14.713, std reward: 0.0
sample: 184, mc_sample: 1, mean reward: -21.374, std reward: 0.0
sample: 185, mc_sample: 1, mean reward: -7.998, std reward: 0.0
sample: 186, mc_sample: 1, mean reward: -25.437, std reward: 0.0
sample: 187, mc_sample: 1, mean reward: -20.371, std reward: 0.0
sample: 188, mc_sample: 1, mean reward: -27.224, std reward: 0.0
sample: 189, mc_sample: 1, mean reward: -13.546, std reward: 0.0
sample: 190, mc_sample: 1, mean reward: -17.304, std reward: 0.0
sample: 191, mc_sample: 1, mean reward: -15.931, std reward: 0.0
sample: 192, mc_sample: 1, mean reward: -16.958, std reward: 0.0
sample: 193, mc_sample: 1, mean reward: -21.9, std reward: 0.0
sample: 194, mc_sample: 1, mean reward: -11.937, std reward: 0.0
sample: 195, mc_sample: 1, mean reward: -44.975, std reward: 0.0
sample: 196, mc_sample: 1, mean reward: -17.784, std reward: 0.0
sample: 197, mc_sample: 1, mean reward: -18.825, std reward: 0.0
sample: 198, mc_sample: 1, mean reward: -16.185, std reward: 0.0
sample: 199, mc_sample: 1, mean reward: -24.82, std reward: 0.0
sample: 200, mc_sample: 1, mean reward: -8.304, std reward: 0.0
sample: 201, mc_sample: 1, mean reward: -33.257, std reward: 0.0
sample: 202, mc_sample: 1, mean reward: -22.009, std reward: 0.0
sample: 203, mc_sample: 1, mean reward: -23.248, std reward: 0.0
sample: 204, mc_sample: 1, mean reward: -12.198, std reward: 0.0
sample: 205, mc_sample: 1, mean reward: -18.39, std reward: 0.0
sample: 206, mc_sample: 1, mean reward: -32.085, std reward: 0.0
sample: 207, mc_sample: 1, mean reward: -17.093, std reward: 0.0
sample: 208, mc_sample: 1, mean reward: -11.782, std reward: 0.0
sample: 209, mc_sample: 1, mean reward: -20.505, std reward: 0.0
sample: 210, mc_sample: 1, mean reward: -31.547, std reward: 0.0
sample: 211, mc_sample: 1, mean reward: -6.467, std reward: 0.0
sample: 212, mc_sample: 1, mean reward: -24.457, std reward: 0.0
sample: 213, mc_sample: 1, mean reward: -5.78, std reward: 0.0
sample: 214, mc_sample: 1, mean reward: -39.482, std reward: 0.0
sample: 215, mc_sample: 1, mean reward: -17.297, std reward: 0.0
sample: 216, mc_sample: 1, mean reward: -15.299, std reward: 0.0
sample: 217, mc_sample: 1, mean reward: -21.715, std reward: 0.0
sample: 218, mc_sample: 1, mean reward: -38.987, std reward: 0.0
sample: 219, mc_sample: 1, mean reward: -12.796, std reward: 0.0
sample: 220, mc_sample: 1, mean reward: -13.389, std reward: 0.0
sample: 221, mc_sample: 1, mean reward: -15.53, std reward: 0.0
sample: 222, mc_sample: 1, mean reward: -16.045, std reward: 0.0
sample: 223, mc_sample: 1, mean reward: -27.051, std reward: 0.0
sample: 224, mc_sample: 1, mean reward: -28.934, std reward: 0.0
sample: 225, mc_sample: 1, mean reward: -43.618, std reward: 0.0
sample: 226, mc_sample: 1, mean reward: -18.66, std reward: 0.0
sample: 227, mc_sample: 1, mean reward: -51.322, std reward: 0.0
sample: 228, mc_sample: 1, mean reward: -13.357, std reward: 0.0
sample: 229, mc_sample: 1, mean reward: -10.066, std reward: 0.0
sample: 230, mc_sample: 1, mean reward: -10.076, std reward: 0.0
sample: 231, mc_sample: 1, mean reward: -14.226, std reward: 0.0
sample: 232, mc_sample: 1, mean reward: -21.123, std reward: 0.0
sample: 233, mc_sample: 1, mean reward: -12.405, std reward: 0.0
sample: 234, mc_sample: 1, mean reward: -33.998, std reward: 0.0
sample: 235, mc_sample: 1, mean reward: -37.088, std reward: 0.0
sample: 236, mc_sample: 1, mean reward: -33.217, std reward: 0.0
sample: 237, mc_sample: 1, mean reward: -34.744, std reward: 0.0
sample: 238, mc_sample: 1, mean reward: -32.118, std reward: 0.0
sample: 239, mc_sample: 1, mean reward: -5.783, std reward: 0.0
sample: 240, mc_sample: 1, mean reward: -13.361, std reward: 0.0
sample: 241, mc_sample: 1, mean reward: -34.392, std reward: 0.0
sample: 242, mc_sample: 1, mean reward: -21.497, std reward: 0.0
sample: 243, mc_sample: 1, mean reward: -13.202, std reward: 0.0
sample: 244, mc_sample: 1, mean reward: -9.5, std reward: 0.0
sample: 245, mc_sample: 1, mean reward: -7.876, std reward: 0.0
sample: 246, mc_sample: 1, mean reward: -7.384, std reward: 0.0
sample: 247, mc_sample: 1, mean reward: -8.108, std reward: 0.0
sample: 248, mc_sample: 1, mean reward: -24.14, std reward: 0.0
sample: 249, mc_sample: 1, mean reward: -9.68, std reward: 0.0
sample: 250, mc_sample: 1, mean reward: -19.045, std reward: 0.0
sample: 251, mc_sample: 1, mean reward: -5.834, std reward: 0.0
sample: 252, mc_sample: 1, mean reward: -25.725, std reward: 0.0
sample: 253, mc_sample: 1, mean reward: -27.295, std reward: 0.0
sample: 254, mc_sample: 1, mean reward: -15.886, std reward: 0.0
sample: 255, mc_sample: 1, mean reward: -9.167, std reward: 0.0
sample: 256, mc_sample: 1, mean reward: -9.108, std reward: 0.0
sample: 257, mc_sample: 1, mean reward: -19.789, std reward: 0.0
sample: 258, mc_sample: 1, mean reward: -17.67, std reward: 0.0
sample: 259, mc_sample: 1, mean reward: -22.706, std reward: 0.0
sample: 260, mc_sample: 1, mean reward: -9.729, std reward: 0.0
sample: 261, mc_sample: 1, mean reward: -19.887, std reward: 0.0
sample: 262, mc_sample: 1, mean reward: -11.412, std reward: 0.0
sample: 263, mc_sample: 1, mean reward: -24.104, std reward: 0.0
sample: 264, mc_sample: 1, mean reward: -33.999, std reward: 0.0
sample: 265, mc_sample: 1, mean reward: -15.066, std reward: 0.0
sample: 266, mc_sample: 1, mean reward: -36.066, std reward: 0.0
sample: 267, mc_sample: 1, mean reward: -16.681, std reward: 0.0
sample: 268, mc_sample: 1, mean reward: -20.996, std reward: 0.0
sample: 269, mc_sample: 1, mean reward: -22.483, std reward: 0.0
sample: 270, mc_sample: 1, mean reward: -9.842, std reward: 0.0
sample: 271, mc_sample: 1, mean reward: -11.881, std reward: 0.0
sample: 272, mc_sample: 1, mean reward: -16.352, std reward: 0.0
sample: 273, mc_sample: 1, mean reward: -41.789, std reward: 0.0
sample: 274, mc_sample: 1, mean reward: -7.341, std reward: 0.0
sample: 275, mc_sample: 1, mean reward: -37.593, std reward: 0.0
sample: 276, mc_sample: 1, mean reward: -17.191, std reward: 0.0
sample: 277, mc_sample: 1, mean reward: -13.143, std reward: 0.0
sample: 278, mc_sample: 1, mean reward: -17.032, std reward: 0.0
sample: 279, mc_sample: 1, mean reward: -12.806, std reward: 0.0
sample: 280, mc_sample: 1, mean reward: -9.715, std reward: 0.0
sample: 281, mc_sample: 1, mean reward: -19.129, std reward: 0.0
sample: 282, mc_sample: 1, mean reward: -43.22, std reward: 0.0
sample: 283, mc_sample: 1, mean reward: -29.558, std reward: 0.0
sample: 284, mc_sample: 1, mean reward: -13.344, std reward: 0.0
sample: 285, mc_sample: 1, mean reward: -9.527, std reward: 0.0
sample: 286, mc_sample: 1, mean reward: -11.093, std reward: 0.0
sample: 287, mc_sample: 1, mean reward: -31.015, std reward: 0.0
sample: 288, mc_sample: 1, mean reward: -21.538, std reward: 0.0
sample: 289, mc_sample: 1, mean reward: -41.676, std reward: 0.0
sample: 290, mc_sample: 1, mean reward: -14.808, std reward: 0.0
sample: 291, mc_sample: 1, mean reward: -25.55, std reward: 0.0
sample: 292, mc_sample: 1, mean reward: -30.399, std reward: 0.0
sample: 293, mc_sample: 1, mean reward: -33.379, std reward: 0.0
sample: 294, mc_sample: 1, mean reward: -24.41, std reward: 0.0
sample: 295, mc_sample: 1, mean reward: -25.032, std reward: 0.0
sample: 296, mc_sample: 1, mean reward: -4.872, std reward: 0.0
sample: 297, mc_sample: 1, mean reward: -8.332, std reward: 0.0
sample: 298, mc_sample: 1, mean reward: -8.252, std reward: 0.0
sample: 299, mc_sample: 1, mean reward: -16.725, std reward: 0.0
sample: 300, mc_sample: 1, mean reward: -27.946, std reward: 0.0
sample: 301, mc_sample: 1, mean reward: -37.228, std reward: 0.0
sample: 302, mc_sample: 1, mean reward: -21.281, std reward: 0.0
sample: 303, mc_sample: 1, mean reward: -22.449, std reward: 0.0
sample: 304, mc_sample: 1, mean reward: -12.508, std reward: 0.0
sample: 305, mc_sample: 1, mean reward: -11.769, std reward: 0.0
sample: 306, mc_sample: 1, mean reward: -16.455, std reward: 0.0
sample: 307, mc_sample: 1, mean reward: -6.922, std reward: 0.0
sample: 308, mc_sample: 1, mean reward: -10.318, std reward: 0.0
sample: 309, mc_sample: 1, mean reward: -20.356, std reward: 0.0
sample: 310, mc_sample: 1, mean reward: -21.066, std reward: 0.0
sample: 311, mc_sample: 1, mean reward: -14.133, std reward: 0.0
sample: 312, mc_sample: 1, mean reward: -14.273, std reward: 0.0
sample: 313, mc_sample: 1, mean reward: -30.219, std reward: 0.0
sample: 314, mc_sample: 1, mean reward: -36.608, std reward: 0.0
sample: 315, mc_sample: 1, mean reward: -8.843, std reward: 0.0
sample: 316, mc_sample: 1, mean reward: -17.635, std reward: 0.0
sample: 317, mc_sample: 1, mean reward: -9.989, std reward: 0.0
sample: 318, mc_sample: 1, mean reward: -7.459, std reward: 0.0
sample: 319, mc_sample: 1, mean reward: -11.166, std reward: 0.0
sample: 320, mc_sample: 1, mean reward: -12.38, std reward: 0.0
sample: 321, mc_sample: 1, mean reward: -25.378, std reward: 0.0
sample: 322, mc_sample: 1, mean reward: -8.772, std reward: 0.0
sample: 323, mc_sample: 1, mean reward: -10.164, std reward: 0.0
sample: 324, mc_sample: 1, mean reward: -8.344, std reward: 0.0
sample: 325, mc_sample: 1, mean reward: -42.581, std reward: 0.0
sample: 326, mc_sample: 1, mean reward: -14.558, std reward: 0.0
sample: 327, mc_sample: 1, mean reward: -33.335, std reward: 0.0
sample: 328, mc_sample: 1, mean reward: -42.786, std reward: 0.0
sample: 329, mc_sample: 1, mean reward: -13.322, std reward: 0.0
sample: 330, mc_sample: 1, mean reward: -25.579, std reward: 0.0
sample: 331, mc_sample: 1, mean reward: -23.499, std reward: 0.0
sample: 332, mc_sample: 1, mean reward: -8.475, std reward: 0.0
sample: 333, mc_sample: 1, mean reward: -38.434, std reward: 0.0
sample: 334, mc_sample: 1, mean reward: -42.285, std reward: 0.0
sample: 335, mc_sample: 1, mean reward: -11.833, std reward: 0.0
sample: 336, mc_sample: 1, mean reward: -12.647, std reward: 0.0
sample: 337, mc_sample: 1, mean reward: -24.297, std reward: 0.0
sample: 338, mc_sample: 1, mean reward: -11.631, std reward: 0.0
sample: 339, mc_sample: 1, mean reward: -42.491, std reward: 0.0
sample: 340, mc_sample: 1, mean reward: -8.986, std reward: 0.0
sample: 341, mc_sample: 1, mean reward: -24.841, std reward: 0.0
sample: 342, mc_sample: 1, mean reward: -7.743, std reward: 0.0
sample: 343, mc_sample: 1, mean reward: -28.166, std reward: 0.0
sample: 344, mc_sample: 1, mean reward: -48.162, std reward: 0.0
sample: 345, mc_sample: 1, mean reward: -11.941, std reward: 0.0
sample: 346, mc_sample: 1, mean reward: -36.69, std reward: 0.0
sample: 347, mc_sample: 1, mean reward: -28.814, std reward: 0.0
sample: 348, mc_sample: 1, mean reward: -57.219, std reward: 0.0
sample: 349, mc_sample: 1, mean reward: -57.175, std reward: 0.0
sample: 350, mc_sample: 1, mean reward: -45.781, std reward: 0.0
sample: 351, mc_sample: 1, mean reward: -8.699, std reward: 0.0
sample: 352, mc_sample: 1, mean reward: -49.402, std reward: 0.0
sample: 353, mc_sample: 1, mean reward: -10.424, std reward: 0.0
sample: 354, mc_sample: 1, mean reward: -48.977, std reward: 0.0
sample: 355, mc_sample: 1, mean reward: -11.405, std reward: 0.0
sample: 356, mc_sample: 1, mean reward: -21.697, std reward: 0.0
sample: 357, mc_sample: 1, mean reward: -16.239, std reward: 0.0
sample: 358, mc_sample: 1, mean reward: -12.486, std reward: 0.0
sample: 359, mc_sample: 1, mean reward: -20.633, std reward: 0.0
sample: 360, mc_sample: 1, mean reward: -13.163, std reward: 0.0
sample: 361, mc_sample: 1, mean reward: -24.123, std reward: 0.0
sample: 362, mc_sample: 1, mean reward: -17.755, std reward: 0.0
sample: 363, mc_sample: 1, mean reward: -24.566, std reward: 0.0
sample: 364, mc_sample: 1, mean reward: -11.135, std reward: 0.0
sample: 365, mc_sample: 1, mean reward: -20.758, std reward: 0.0
sample: 366, mc_sample: 1, mean reward: -9.075, std reward: 0.0
sample: 367, mc_sample: 1, mean reward: -6.796, std reward: 0.0
sample: 368, mc_sample: 1, mean reward: -23.102, std reward: 0.0
sample: 369, mc_sample: 1, mean reward: -25.888, std reward: 0.0
sample: 370, mc_sample: 1, mean reward: -24.926, std reward: 0.0
sample: 371, mc_sample: 1, mean reward: -23.601, std reward: 0.0
sample: 372, mc_sample: 1, mean reward: -25.543, std reward: 0.0
sample: 373, mc_sample: 1, mean reward: -12.265, std reward: 0.0
sample: 374, mc_sample: 1, mean reward: -47.191, std reward: 0.0
sample: 375, mc_sample: 1, mean reward: -50.533, std reward: 0.0
sample: 376, mc_sample: 1, mean reward: -8.3, std reward: 0.0
sample: 377, mc_sample: 1, mean reward: -26.72, std reward: 0.0
sample: 378, mc_sample: 1, mean reward: -17.447, std reward: 0.0
sample: 379, mc_sample: 1, mean reward: -18.199, std reward: 0.0
sample: 380, mc_sample: 1, mean reward: -12.994, std reward: 0.0
sample: 381, mc_sample: 1, mean reward: -31.031, std reward: 0.0
sample: 382, mc_sample: 1, mean reward: -28.169, std reward: 0.0
sample: 383, mc_sample: 1, mean reward: -31.307, std reward: 0.0
sample: 384, mc_sample: 1, mean reward: -28.474, std reward: 0.0
sample: 385, mc_sample: 1, mean reward: -25.641, std reward: 0.0
sample: 386, mc_sample: 1, mean reward: -22.567, std reward: 0.0
sample: 387, mc_sample: 1, mean reward: -40.235, std reward: 0.0
sample: 388, mc_sample: 1, mean reward: -20.595, std reward: 0.0
sample: 389, mc_sample: 1, mean reward: -38.304, std reward: 0.0
sample: 390, mc_sample: 1, mean reward: -18.692, std reward: 0.0
sample: 391, mc_sample: 1, mean reward: -20.609, std reward: 0.0
sample: 392, mc_sample: 1, mean reward: -11.424, std reward: 0.0
sample: 393, mc_sample: 1, mean reward: -24.316, std reward: 0.0
sample: 394, mc_sample: 1, mean reward: -9.002, std reward: 0.0
sample: 395, mc_sample: 1, mean reward: -11.784, std reward: 0.0
sample: 396, mc_sample: 1, mean reward: -7.809, std reward: 0.0
sample: 397, mc_sample: 1, mean reward: -23.598, std reward: 0.0
sample: 398, mc_sample: 1, mean reward: -33.874, std reward: 0.0
sample: 399, mc_sample: 1, mean reward: -29.524, std reward: 0.0
sample: 400, mc_sample: 1, mean reward: -6.926, std reward: 0.0
sample: 401, mc_sample: 1, mean reward: -12.358, std reward: 0.0
sample: 402, mc_sample: 1, mean reward: -9.642, std reward: 0.0
sample: 403, mc_sample: 1, mean reward: -29.384, std reward: 0.0
sample: 404, mc_sample: 1, mean reward: -21.098, std reward: 0.0
sample: 405, mc_sample: 1, mean reward: -15.299, std reward: 0.0
sample: 406, mc_sample: 1, mean reward: -26.526, std reward: 0.0
sample: 407, mc_sample: 1, mean reward: -22.147, std reward: 0.0
sample: 408, mc_sample: 1, mean reward: -21.787, std reward: 0.0
sample: 409, mc_sample: 1, mean reward: -32.96, std reward: 0.0
