sample: 115, mc_sample: 1, mean reward: -15.097, std reward: 0.0, kl: 47740.0
sample: 116, mc_sample: 1, mean reward: -37.911, std reward: 0.0, kl: 47739.99609375
sample: 117, mc_sample: 1, mean reward: -32.109, std reward: 0.0, kl: 47739.99609375
sample: 118, mc_sample: 1, mean reward: -56.629, std reward: 0.0, kl: 47739.99609375
sample: 119, mc_sample: 1, mean reward: -15.841, std reward: 0.0, kl: 47739.99609375
sample: 120, mc_sample: 1, mean reward: -78.681, std reward: 0.0, kl: 47739.99609375
sample: 121, mc_sample: 1, mean reward: -51.846, std reward: 0.0, kl: 47740.00390625
sample: 122, mc_sample: 1, mean reward: -42.313, std reward: 0.0, kl: 47740.00390625
sample: 123, mc_sample: 1, mean reward: -76.625, std reward: 0.0, kl: 47740.00390625
sample: 124, mc_sample: 1, mean reward: -13.524, std reward: 0.0, kl: 47740.00390625
sample: 125, mc_sample: 1, mean reward: -14.86, std reward: 0.0, kl: 47740.00390625
sample: 126, mc_sample: 1, mean reward: -41.75, std reward: 0.0, kl: 47740.00390625
sample: 127, mc_sample: 1, mean reward: -43.133, std reward: 0.0, kl: 47740.00390625
sample: 128, mc_sample: 1, mean reward: -38.262, std reward: 0.0, kl: 47740.00390625
sample: 129, mc_sample: 1, mean reward: -15.842, std reward: 0.0, kl: 47740.00390625
sample: 130, mc_sample: 1, mean reward: -32.988, std reward: 0.0, kl: 47740.00390625
sample: 131, mc_sample: 1, mean reward: -12.641, std reward: 0.0, kl: 47740.0
sample: 132, mc_sample: 1, mean reward: -53.909, std reward: 0.0, kl: 47740.0
sample: 133, mc_sample: 1, mean reward: -75.435, std reward: 0.0, kl: 47740.0
sample: 134, mc_sample: 1, mean reward: -32.427, std reward: 0.0, kl: 47740.0
sample: 135, mc_sample: 1, mean reward: -8.3, std reward: 0.0, kl: 47740.0
sample: 136, mc_sample: 1, mean reward: -63.515, std reward: 0.0, kl: 47740.0
sample: 137, mc_sample: 1, mean reward: -22.22, std reward: 0.0, kl: 47740.0
sample: 138, mc_sample: 1, mean reward: -22.942, std reward: 0.0, kl: 47740.0
sample: 139, mc_sample: 1, mean reward: -38.106, std reward: 0.0, kl: 47740.0
sample: 140, mc_sample: 1, mean reward: -17.379, std reward: 0.0, kl: 47740.0
sample: 141, mc_sample: 1, mean reward: -21.531, std reward: 0.0, kl: 47740.0
sample: 142, mc_sample: 1, mean reward: -19.882, std reward: 0.0, kl: 47740.0
sample: 143, mc_sample: 1, mean reward: -15.225, std reward: 0.0, kl: 47740.0
sample: 144, mc_sample: 1, mean reward: -13.254, std reward: 0.0, kl: 47740.0
sample: 145, mc_sample: 1, mean reward: -46.08, std reward: 0.0, kl: 47740.0
sample: 146, mc_sample: 1, mean reward: -23.74, std reward: 0.0, kl: 47740.0
sample: 147, mc_sample: 1, mean reward: -56.188, std reward: 0.0, kl: 47740.0
sample: 148, mc_sample: 1, mean reward: -59.264, std reward: 0.0, kl: 47740.0
sample: 149, mc_sample: 1, mean reward: -16.421, std reward: 0.0, kl: 47740.0
sample: 150, mc_sample: 1, mean reward: -44.411, std reward: 0.0, kl: 47740.0
sample: 151, mc_sample: 1, mean reward: -17.456, std reward: 0.0, kl: 47740.0
sample: 152, mc_sample: 1, mean reward: -23.963, std reward: 0.0, kl: 47740.0
sample: 153, mc_sample: 1, mean reward: -17.302, std reward: 0.0, kl: 47740.0
sample: 154, mc_sample: 1, mean reward: -14.031, std reward: 0.0, kl: 47740.0
sample: 155, mc_sample: 1, mean reward: -75.964, std reward: 0.0, kl: 47740.0
sample: 156, mc_sample: 1, mean reward: -106.096, std reward: 0.0, kl: 47740.0
sample: 157, mc_sample: 1, mean reward: -13.646, std reward: 0.0, kl: 47740.0
sample: 158, mc_sample: 1, mean reward: -18.148, std reward: 0.0, kl: 47740.0
sample: 159, mc_sample: 1, mean reward: -52.539, std reward: 0.0, kl: 47740.0
sample: 160, mc_sample: 1, mean reward: -39.859, std reward: 0.0, kl: 47740.0
sample: 161, mc_sample: 1, mean reward: -38.708, std reward: 0.0, kl: 47740.0
sample: 162, mc_sample: 1, mean reward: -14.384, std reward: 0.0, kl: 47740.0
sample: 163, mc_sample: 1, mean reward: -35.901, std reward: 0.0, kl: 47740.0
sample: 164, mc_sample: 1, mean reward: -84.565, std reward: 0.0, kl: 47740.0
sample: 165, mc_sample: 1, mean reward: -17.333, std reward: 0.0, kl: 47740.0
sample: 166, mc_sample: 1, mean reward: -20.518, std reward: 0.0, kl: 47740.0
sample: 167, mc_sample: 1, mean reward: -22.086, std reward: 0.0, kl: 47740.0
sample: 168, mc_sample: 1, mean reward: -19.617, std reward: 0.0, kl: 47740.0
