sample: 202, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 203, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 204, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.3359375
sample: 205, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 206, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 207, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 208, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.3359375
sample: 209, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 210, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.3359375
sample: 211, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.3359375
sample: 212, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 213, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.3359375
sample: 214, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.3359375
sample: 215, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 216, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.3359375
sample: 217, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 218, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80253.3359375
sample: 219, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 220, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.3359375
sample: 221, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.3359375
sample: 222, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.3359375
sample: 223, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.3359375
sample: 224, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80253.3359375
sample: 225, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.3359375
sample: 226, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 227, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.6875
sample: 228, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.6875
sample: 229, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 230, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.6875
sample: 231, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.6875
sample: 232, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.6875
sample: 233, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.6875
sample: 234, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.6875
sample: 235, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 236, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 237, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.6875
sample: 238, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 239, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 240, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 241, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 242, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.6875
sample: 243, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.6875
sample: 244, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.6875
sample: 245, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.6875
sample: 246, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.6875
sample: 247, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.6875
sample: 248, mc_sample: 1, mean reward: -0.3, std reward: 0.0, kl: 80253.6875
